Date,Misc,CERN,"NCSA
https://en.wikipedia.org/wiki/Mosaic_(web_browser)","Netscape
https://en.wikipedia.org/wiki/Netscape_(web_browser)#Release_history",Mozilla,"Firefox
https://en.wikipedia.org/wiki/Firefox_early_version_history
https://en.wikipedia.org/wiki/Firefox_version_history","SeaMonkey
https://en.wikipedia.org/wiki/History_of_Mozilla_Application_Suite
https://en.wikipedia.org/wiki/SeaMonkey",Waterfox,"Pale Moon
https://www.palemoon.org/releasenotes-archived.shtml",Flock,Other Gecko-based,"Microsoft
https://en.wikipedia.org/wiki/Internet_Explorer_version_history
https://en.wikipedia.org/wiki/Microsoft_Edge","MacIE
https://en.wikipedia.org/wiki/Internet_Explorer_for_Mac",IEコンポーネントブラウザ,Flash、Web技術,"Opera
https://en.wikipedia.org/wiki/History_of_the_Opera_web_browser","Vivaldi
https://en.wikipedia.org/wiki/Vivaldi_(web_browser)","Konqueror
https://timeline.kde.org/","Apple
https://en.wikipedia.org/wiki/Safari_version_history","Google
https://support.google.com/chrome/a/answer/10314655?hl=ja
https://google.fandom.com/wiki/Chrome_version_history","Brave
https://en.wikipedia.org/wiki/Brave_(web_browser)#History"
1998-06-25,,,,,,,,,,,,Windows 98リリース,,,,,,,,,
1998-09-04,,,,,,,,,,,,,,,,,,,,"Google Inc.設立
検索エンジン市場に参入",
1998-10-19,,,,Netscape Communicator 4.5,,,,,,,,,,,,,,,,,
1998-11-24,,,,AOLがNetscapeの買収を発表,,,,,,,,,,,,,,,,,
1999-02-17,"iCab 1.0
独自エンジンのMac用ブラウザー",,,,,,,,,,,,,,,,,,,,
1999-03-18,,,,,,,,,,,,"Internet Explorer 5.0
Windows 98 Second Editionに同梱
HTMLルビ
XMLHttpRequest
MHTML
XML部分対応
CSS2部分対応
DOM1部分対応",,,,,,,,,
1999-03-19,,,,,,,"Mozilla M3
最初の開発者向けリリース
レンダリングエンジンGecko
JSエンジンSpiderMonkey
CSS2
DOM2
XML
XSLT",,,,,,,,,,,,,,
1999-09-30,,,,Netscape Communicator 4.7,,,,,,,,,,,,,,,,,
1999-10-23,,,,,,,,,,,,,,,,,,,Mac OS 9,,
1999-11-14,"Amaya 0.9
W3C公式の独立系ブラウザー兼エディター",,,,,,,,,,,,,,,,,,,,
2000-02-17,,,,,,,,,,,,Windows 2000リリース,,,,,,,,,
2000-03-11,,,,,,,,,,,,,,"Donut 1.01リリース
https://ja.wikipedia.org/wiki/Donut_(%E3%82%A6%E3%82%A7%E3%83%96%E3%83%96%E3%83%A9%E3%82%A6%E3%82%B6)",,,,,,,
2000-03-27,,,,,,,,,,,,,"Internet Explorer 5 Macintosh Edition
レンダリングエンジンTasman
Web標準仕様に高水準で対応",,,,,,,,
2000-04-15,iCab Preview 2.1,,,,,,,,,,,,,,,,,,,,
2000-05-29,,,,,,,,,,,,,,"Moon Browser 0.01 Beta1リリース
https://web.archive.org/web/20011129101328/http://www.geocities.co.jp/SiliconValley-Cupertino/8986/history.txt",,,,,,,
2000-06-13,,,,,,,,,,,,,,BugBrowser v0.78リリース,,,,,,,
2000-06-15,,,,,,,,,,,"Galeon 0.6
Geckoベース",,,,,,,,,,
2000-06-19,,,,,,,,,,,,"Internet Explorer 5.5
Windows Meに同梱
縦書き表示
CSS2対応強化
XSLT部分対応",,,,,,,,,
2000-06-19,,,,,,,,,,,,Windows Me,,,,,,,,,
2000-06-28,,,,,,,,,,,,,,,,"Opera 4
CSS
メールクライアント統合",,,,,
2000-08-21,,,,,,,,,,,"K-Meleon 0.1
Gecko M17ベース",,,,,,,,,,
2000-08-24,,,,,,,,,,,,,,,"Macromedia Flash 5
ActionScript 1.0",,,,,,
2000-09-20,,,,,,,,,,,,,,fub.net 0.0.188βリリース,,,,,,,
2000-10-12,,,,,,,Mozilla M18,,,,,,,,,,,,,,
2000-10-23,,,,,,,,,,,,,,,,,,"Konqueror 2.0
KDE2の一部として最初のリリース
レンダリングエンジンKHTML",,,
2000-10-23,,,,,,,,,,,,,,,,,,,,"Google AdWordsサービス開始
収益の大幅な改善により、企業規模が大きく拡大し始める",
2000-11-14,,,,"Netscape 6
Mozilla Application Suite 0.6ベース",,,,,,,,,,,,,,,,,
2000-12-06,,,,,,,,,,,,,,,,"Opera 5
広告表示による無償利用
マウスジェスチャー",,,,,
2000-12-06,,,,,,,Mozilla 0.6,,,,,,,,,,,,,,
2000-12-11,,,,,,,,,,,,,,,,,,,,"Googleツールバー
IE5に機能を追加
検索ボックス
翻訳
スペルチェッカー
ポップアップブロック",
2000-12-13,,,,,,,,,,,,,,"MDIBrowser 0.5リリース
https://web.archive.org/web/20050914075629/http://void.in/mdi/mdibrowserhistory2.html",,,,,,,
2001-03-24,,,,,,,,,,,,,,,,,,,Mac OS X 10.0 Cheetah,,
2001-07-14,,,,,,,,,,,,,,"Lunascape 0.81リリース
https://ja.wikipedia.org/wiki/Lunascape",,,,,,,
2001-08-24,,,,,,,,,,,,"Internet Explorer 6.0
Windows XPに同梱
CSS2対応強化
DOM2部分対応
SMIL 2.0部分対応",,,,,,,,,
2001-09-25,,,,,,,,,,,,,,,,,,,Mac OS X 10.1 Puma,,
2001-10-12,,,,,,,"Mozilla 0.9.5
タブブラウズ",,,,,,,,,,,,,,
2001-10-25,,,,,,,,,,,,Windows XPリリース,,,,,,,,,
2001-11-22,"w3m 0.2.2
独立系テキストブラウザー",,,,,,,,,,,,,,,,,,,,
