Date,Misc,CERN,"NCSA
https://en.wikipedia.org/wiki/Mosaic_(web_browser)","Netscape
https://en.wikipedia.org/wiki/Netscape_(web_browser)#Release_history",Mozilla,"Firefox
https://en.wikipedia.org/wiki/Firefox_early_version_history
https://en.wikipedia.org/wiki/Firefox_version_history","SeaMonkey
https://en.wikipedia.org/wiki/History_of_Mozilla_Application_Suite
https://en.wikipedia.org/wiki/SeaMonkey",Waterfox,"Pale Moon
https://www.palemoon.org/releasenotes-archived.shtml",Flock,Other Gecko-based,"Microsoft
https://en.wikipedia.org/wiki/Internet_Explorer_version_history
https://en.wikipedia.org/wiki/Microsoft_Edge","MacIE
https://en.wikipedia.org/wiki/Internet_Explorer_for_Mac",IEコンポーネントブラウザ,Flash、Web技術,"Opera
https://en.wikipedia.org/wiki/History_of_the_Opera_web_browser","Vivaldi
https://en.wikipedia.org/wiki/Vivaldi_(web_browser)","Konqueror
https://timeline.kde.org/","Apple
https://en.wikipedia.org/wiki/Safari_version_history","Google
https://support.google.com/chrome/a/answer/10314655?hl=ja
https://google.fandom.com/wiki/Chrome_version_history","Brave
https://en.wikipedia.org/wiki/Brave_(web_browser)#History"
2008-06-17,,,,,,"Firefox 3.0
Gecko 1.9ベース
Acid2テストをパス
Google Safe Browsingベースのマルウェア対策
ブックマークと履歴の統合
スマートロケーションバー
EV SSL
APNG",,,,,,,,,,,,,,,
2008-09-23,,,,,,,,,,,,,,,,,,,,Android 1.0,
2008-10-22,,,,,,,,,,,,,,,,,,,,"HTC Dream発売
世界初のAndroid端末",
2008-10-29,,,,,,,,,,,,,,,,,,,,"Chrome 0.3
Firefoxの初期開発者達により開発
スペルチェッカー",
2008-11-13,,,,,,,,,,,,,,,,,,,"Safari 3.2
フィッシング防止
EV SSL",,
2008-11-17,,,,,,,,,,,,,,,"Adobe AIR 1.5
Flash Player 10ベース",,,,,,
2008-12-11,,,,,,,,,,,,,,,,,,,,"Chrome 1.0
最初の安定版
JSエンジンV8
HTML canvas
ポップアップブロック",
2009-03-18,,,,,,,,,,,,,,"Lunascape 5.0.0
WebKit対応",,,,,,,
2009-03-19,,,,,,,,,,,,"Internet Explorer 8
Acid2テストをパス
マルチプロセス化
セッション復元",,,,,,,,,
2009-06-03,,,,,,,,,,,,,,,,"Opera 10
Acid3テストをパス
Opera Turbo
Speed Dial",,,,,
2009-06-08,,,,,,,,,,,,,,,,,,,"Safari 4.0
Acid3テストをパス
JavaScriptエンジン刷新
Top Sites
Cover Flow",,
2009-06-30,,,,,,"Firefox 3.5
Gecko 1.9.1ベース
HTML video/audio
TraceMonkeyによるJS高速化
プライベートブラウジング
ネイティブJSON
Web Fonts",,,,,,,,,,,,,,,
2009-08-28,,,,,,,,,,,,,,,,,,,Mac OS X 10.6 Snow Leopard,,
2009-09-29,,,,,,,,,,,風博士 0.5.8,,,,,,,,,,
2009-10-12,,,,,,,,,,,,,,,,,,,,"Chrome 3
HTML video/audio",
2009-10-22,,,,,,,,,,,,Windows 7リリース,,,,,,,,,
2009-10-27,,,,,,,"SeaMonkey 2.0
Gecko 1.9.1ベース",,,,,,,,,,,,,,
2009-11-18,,,,,,,,,,,"Camino 2.0
Acid2テストをパス",,,,,,,,,,
2009-12-11,,,,,,,,,,,,,,Lunascape Orion 6.0.0,,,,,,,
2010-01-21,,,,,,"Firefox 3.6
Gecko 1.9.2ベース
HTML5 ドラッグ＆ドロップAPI
プラグインのプロセス分離",,,,,,,,,,,,,,,
2010-01-25,,,,,,,,,,,,,,,,,,,,"Chrome 4
拡張機能",
2010-04-03,,,,,,,,,,,,,,,,,,,iPad発売,,
2010-06-04,,,,,,,,,,"Flock 3.0
Chromiumベースに変更",,,,,,,,,,,
2010-06-07,,,,,,,,,,,,,,,,,,,"Safari 5.0
拡張機能（5.0.1）
HTMLルビ（5.0.6）
リーダー拡張機能",,
2010-06-10,,,,,,,,,,,,,,,Adobe AIR 2.0.2,,,,,,
2010-09-15,,,,,MCD、Mozilla Developer Network（MDN）へ改称,,,,,,,,,,,,,,,,
2010-09-18,,,,,,,,,,,,,,,,,,,"iOS 4.0
名称変更",,
2010-11-08,,,,,,,,,,,,"HTC 7 Surround発売
世界初のWindows Phone 7端末",,,,,,,,,
2010-12-16,,,,,,,,,,,,,,,,"Opera 11
HTML video/audio（10.5）
タブスタッキング
拡張機能",,,,,
2011-01-15,w3m 0.5.3,,,,,,,,,,,,,,,,,,,,
2011-01-27,,,,,,,,,,"Flock 2.6.2
Firefoxベースの最終版",,,,,,,,,,,
2011-02-03,,,,,,,,,,,,,,,,,,,,"Chrome (5-)9
Geolocation API
Web Sockets
HTML5 ドラッグ＆ドロップAPI
Flash統合
WebM
PDFビューワー
File API
WebGL
WebP",
2011-03-14,,,,,,,,,,,,"Internet Explorer 9
JSエンジンChakra
ハードウェアアクセラレーション
HTML5への対応を開始",,,,,,,,,
2011-03-22,,,,,,"Firefox 4.0
Gecko 2.0ベース
JägerMonkeyによるJS高速化
Do Not Trackヘッダ
Firefox Sync
WebGL
CSS Transition
Android版提供開始",,,,,,,,,,,,,,,
2011-03-27,,,,,,,,"Waterfox
Firefoxの64bit Windows用独自最適化ビルドとしてプロジェクト開始",,,,,,,,,,,,,
2011-04-26,,,,,,,,,,全バージョンのサポートを終了,,,,,,,,,,,
2011-06-10,,,,,,,"SeaMonkey 2.1
Gecko 2.0ベース",,,,,,,,,,,,,,
2011-06-15,,,,,,,,,,,,,,,,,,,,ChromeOS 1.0,
2011-07-20,,,,,,,,,,,,,,,,,,,Mac OS X 10.7 Lion,,
2011-07-20,,,,,,,,,,,,,,,,,,,"Safari 5.1
WebGL",,
2011-10-03,,,,,,,,,,,,,,,Adobe AIR 3.0,,,,,,
2011-11-16,,,,,,,,,,,,,,"Sleipnir 3.0.0
Gecko対応終了
WebKit対応",,,,,,,
2012-01-18,Amaya 11.4.4,,,,,,,,,,,,,,,,,,,,
2012-01-31,,,,,,,"SeaMonkey 2.7
Gecko 10ベース",,,,,,,,,,,,,,
2012-01-31,,,,,,"Firefox 10
最初のESR版
FullScreen API",,,,,,,,,,,,,,,
2012-02-08,,,,,,,,,,,,,,,,,,,,"Chrome (10-)17
Speech Input API
Web Audio API
Native Client（NaCl）
FullScreen API",
2012-03-14,,,,,,,,,,,"Camino 2.1.2
最終版",,,,,,,,,,
2012-06-14,,,,,,,,,,,,,,,,"Opera 12
WebGL",,,,,
2012-06-25,,,,,,,,,,,,,,,,,,,Safari 6.0,,
2012-07-25,,,,,,,,,,,,,,,,,,,OS X 10.8 Mountain Lion,,
2012-10-26,,,,,,,,,,,,Internet Explorer 10,,,,,,,,,
2012-10-26,,,,,,,,,,,,Windows 8リリース,,,,,,,,,
2012-11-09,,,,,,,"SeaMonkey 2.14
Gecko 17ベース",,,,,,,,,,,,,,
2012-11-20,,,,,,"Firefox 17
SPDY
Opus Audio
PDFビューワー",,,,,,,,,,,,,,,
2013-01-10,,,,,,,,,,,,,,,,,,,,"Chrome (18-)24
ECMAScript 6
Media Stream AP
Gamepad API
CSSメディアクエリー
TLS 1.1
Do Not Track
MathML
THML5 datalist",
2013-02-12,,,,,,,,,,,,,,,,Chromiumベースへの移行を発表,,,,,
2013-02-21,,,,,Firefox OS 1.0リリース,,,,,,,,,,,,,,,,
2013-02-21,,,,,,,,,,,,,,,,,,,,"Chrome 25
Opus audio
VP9 video
Web Speech API",
2013-03-26,,,,,,,,,,,,,,"Sleipnir 4
WebKitからBlinkへ切り替え",,,,,,,
2013-06-17,,,,,,,,,,,,,,,,,,,,"Chrome 28
レンダリングエンジンBlink（WebKitからフォーク）
CSS @supports",
2013-07-02,,,,,,,,,,,,,,,,"Opera 15
Blinkを採用",,,,,
2013-09-04,,,,,,,,,,,,,,,,,,KDEリリースサイクル変更,,,
2013-09-13,,,,,,,,,"Pale Moon 24.0
Firefox 24からフォーク",,,,,,,,,,,,
2013-09-17,,,,,,,"SeaMonkey 2.21
Gecko 24ベース",,,,,,,,,,,,,,
2013-09-17,,,,,,"Firefox 24
IonMonkeyによるJS高速化
WebRTC
H.264
Social API
Notification API
CSS Flexbox
blink要素廃止
asm.js",,,,,,,,,,,,,,,
2013-10-17,,,,,,,,,,,,"Internet Explorer 11
WebGL
HTTP/2
SPDY",,,,,,,,,
2013-10-17,,,,,,,,,,,,Windows 8.1リリース,,,,,,,,,
2013-10-22,,,,,,,,,,,,,,,,,,,Safari 7.0,,
2013-10-22,,,,,,,,,,,,,,,,,,,OS X 10.9 Maverics,,
2013-11-21,,,,,,,,,,,,,,Sleipnir 5,,,,,,,
2014-01-14,,,,,,,,,,,,,,,,,,,,"Chrome (29-)32
TLS 1.2
HTTP/2
QUIC
Chrome Apps API
マルウェア実行防止",
2014-01-14,,,,,,,,,,,,,,,Adobe AIR 4.0,,,,,,
2014-03-01,,,,,,,,,,,,,,,,My Opera終了,,,,,
2014-03-04,,,,,,,,,,,,,,,,"Opera 20
Chromium 33ベース
ロッカージェスチャー",,,,,
2014-05-29,,,,,,,,,,,,,,Sleipnir 6,,,,,,,
2014-06-22,,,,,,"Firefox 31
Web Audio API
Javaプラグインの自動実行無効
一般ユーザーでのFirefoxの自動更新
SPDY 3.1
VP9
WebM
ダウンロードファイル保護
Beacon API",,,,,,,,,,,,,,,
2014-09-07,,,,,,,"SeaMonkey 2.29
Gecko 32ベース",,,,,,,,,,,,,,
2014-10-16,,,,,,,,,,,,,,,,,,,"Safari 8.0
APNG",,
2014-10-16,,,,,,,,,,,,,,,,,,,OS X 10.10 Yosemite,,
2015-01-20,,,,,,,,,,,,,,,,,,,,"Chrome (33-)40
Custom Elements
Ogg Opus
Page Visibility API
Speech Synthesis
Shadow DOM v0
showModalDialog API廃止
SSL3無効",
2015-01-27,,,,,,,,,,,,,,,,,Vivaldi Technologies設立,,,,
2015-01-27,,,,,,,,,,,,,,,,,"Vivaldi Technical Preview 1
Operaの元々のコンセプトを継承",,,,
2015-01-27,,,,,,,,,,,,,,,,"Opera 27
Chromium 40ベース",,,,,
2015-04-24,,,,,,,,,,,,,,,,,,,Apple Watch発売,,
2015-05-12,,,,,,"Firefox 38
OpenH264
EME
Firefox Hello
HTTP/2
HTMLルビ
BroadcastChannel API",,,,,,,,,,,,,,,
2015-05-28,,,,,,,,,,,,,,,,,,,,,Brave Software設立
2015-06-15,,,,,,,,,,,,"Edge 20
最初のリリース
レンダリングエンジンEdgeHTML
HTML video/audio
HTML canvas
asm.js
PDF表示
ダウンロードマネージャ
Darkテーマ
Cortana統合",,,,,,,,,
2015-06-29,,,,,,,,,,,,Windows 10リリース,,,,,,,,,
2015-09-03,,,,,,,"SeaMonkey 2.35
Gecko 38ベース",,,,,,,,,,,,,,
2015-09-30,,,,,,,,,,,,,,,,,,,"Safari 9.0
HTTP/2",,
2015-09-30,,,,,,,,,,,,,,,,,,,OS X 10.11 El Capitan,,
2015-12-06,,,,,,,,,,,,JavaScriptエンジン「ChakraCore」オープンソース化,,,,,,,,,
2016-01-20,,,,,,,,,,,,,,,,,,,,,"Brave Electronベースの最初の開発版公開
広告ブロック"
2016-01-20,,,,,,,,,,,,,,,,,,,,"Chrome (41-)48
NPAPIプラグイン廃止
Push API",
2016-02-02,,,,,,,,,,,,,,,,"Opera 35
Chromium 48ベース
ブックマークの同期",,,,,
2016-03-08,,,,,,"Firefox 45
Service Worker API
Fetch API",,,,,,,,,,,,,,,
2016-04-06,,,,,,,,,,,,,,,,,Vivaldi 1.0,,,,
2016-05-02,,,,,,,,,,,"K-Meleon 76
Gecko 38.8ベース",,,,,,,,,,
2016-08-02,,,,,,,,,,,,"Edge 38
VP9
ES6 Regex
Beacon API
Fetch API",,,,,,,,,
2016-09-20,,,,,,,,,,,,,,,,,,,"Safari 10.0
NPAPIプラグイン無効
Fetch API（10.1）
CSS Grid（10.1）
ECMAScript 2016
ECMAScript 2017
IndexedDB 2.0
Custom Elements
Gamepad API",,
2016-09-20,,,,,,,,,,,,,,,,,,,macOS 10.12 Sierra,,
2016-09-27,,,,,Firefox OS終了をアナウンス,,,,,,,,,,,,,,,,
2016-11-22,,,,,,,,,"Pale Moon 27.0
Gecko 38から変更をバックポート",,,,,,,,,,,,
2016-12-22,,,,,,,"SeaMonkey 2.46
Gecko 49ベース",,,,,,,,,,,,,,
2017-01-25,,,,,,,,,,,,,,,,,,,,"Chrome (49-)56
Shadow DOM v1
Flash自動ブロック
HTML5",
2017-02-07,,,,,,,,,,,,,,,,"Opera 43
Chromium 56ベース
VPN",,,,,
2017-03-07,,,,,,"Firefox 52
タブのプロセス分離
Widevine CDM
FLAC
WebAssenbly
大部分のNPAPIプラグイン廃止
WebExtensions（Chrome互換の拡張機能API）",,,,,,,,,,,,,,,
2017-04-05,,,,,,,,,,,,,,Lunascape Phobe 0.8.7,,,,,,,
2017-06-06,,,,,Mozilla Developer NetworkをMDN Web Docsへ改称、他ベンダー製品の情報も取り扱う,,,,,,,,,,,,,,,,
2017-06-30,,,,,Mozilla Japan、WebDINO Japanへ改称,,,,,,,,,,,,,,,,
2017-07-25,,,,,,,,,,,,,,,Adobe、Flashの開発及びサポート終了予定を公表,,,,,,
2017-08-11,,,,,,,,,,,,"Edge 40
WebRTC 1.0
Service Workers
EPUB",,,,,,,,,
2017-09-19,,,,,,,,,,,,,,,,,,,"Safari 11.0
トラッキング防止
WebRTC
Media Capture API
Resource Timing API
WebAssembly
Service Workers（11.1）
Payment Request API（11.1）
Beacon API（11.1）
ECMAScript 2018（11.1）",,
2017-09-25,,,,,,,,,,,,,,,,,,,macOS 10.13 High Sierra,,
2017-10-18,,,,,ブラウザ関連ドキュメントのMDN Web Docsへの集積にMicrosoft、Googleが合意,,,,,,,,,,,,,,,,
2017-11-04,,,,,,,"SeaMonkey 2.49.1
Gecko 52ベース",,,,,,,,,,,,,,
2017-11-14,,,,,,"Firefox 57
XULアドオン廃止
タブのマルチプロセス動作",,,,,,,,,,,,,,,
2018-01-04,,,,,,,,,,,,,,,,"Opera 50
Chromium 63ベース
マイニング防止
APNG",,,,,
2018-01-06,,,,,,,,"Waterfox 56.0.2
XULアドオン対応版として継続",,,,,,,,,,,,,
2018-01-23,,,,,,,,,,,,,,,,,,,,"Chrome (57-)64
CSS Grid
Media Session API
WebAssembly
IndexedDB 2.0
ESModules
Network Information API
ResizeObservers
Focus Management API",
2018-04-30,,,,,,,,,,,,"Edge 42
WebAssembly
Notification API",,,,,,,,,
2018-05-09,,,,,,"Firefox 60
クレジットカード情報の自動入力
HTTP Live Streaming
グループポリシー対応
Web Auth API",,,,,,,,,,,,,,,
2018-06-01,,,,,,,,,,,,,,,,,,,,,テスト版リリース
2018-07-15,Lynx 2.8.9,,,,,,,,,,,,,,,,,,,,
2018-09-17,,,,,,,,,,,,,,,,,,,"Safari 12.0
NPAPIプラグイン廃止
Do Not Track廃止",,
2018-09-24,,,,,,,,,,,,,,,,,,,macOS 10.14 Mojave,,
2018-09-26,,,,,,,,,,,,,,,,,Vivaldi 2.0,,,,
2018-12-11,,,,,,,,,,,,,,,"Adobe AIR 32.0
Adobeでの最終版
移行はHarman Internationalに移管",,,,,,
2019-01-23,,,,,,,,,,,,,,,,"Opera 58
Chromium 71ベース",,,,,
2019-01-29,,,,,,,,,,,,,,,,,,,,"Chrome (65-)72
CSS Paint API
Server Timing API
Credential Management API
HTTPを「安全でない」と扱うようになった
Page Lifecycle API
Payment Handler API
CSS Scroll Snap
Web Locks API
AV1
User Activation API
TLS 1.0/1.1廃止",
2019-05-21,,,,,,,,,,,,"Edge 44
WebP
Web Authentication API
EPUB対応廃止",,,,,,,,,
2019-06-01,,,,,,,,,,,,,,,,,,,,,Rust実装による広告ブロックの実装開始
2019-06-09,,,,,,"Firefox 68
WebP
自動再生音声のブロック
Windows Hello対応
AV1
マイニングブロック
トラッキング防止",,,,,,,,,,,,,,,
2019-09-19,,,,,,,,,,,,,,,,,,,"Safari 13.0
WebSQL廃止
レガシーなSafari拡張機能の廃止",,
2019-10-07,,,,,,,,,,,,,,,,,,,macOS 10.15 Catalina,,
2019-11-13,,,,,,,,,,,,,,,,,,,,,"Brave 1.0
Chromiumベース
Android、iOS、Windows 10、macOS、Linuxに対応"
2020-01-08,,,,,,,,,,,,,,,,"Opera 66
Chromium 79ベース",,,,,
2020-01-15,,,,,,,,,,,,"Edge 79
Chromiumベースに移行
Chromium 79ベース",,,,,,,,,
2020-02-04,,,,,,,,,,,,,,,,,,,,"Chrome (73-)80
HTTP/3
CSS transition events
Content Picker API
WebVR 1.1 API廃止
CSS Properties and Values API
Native File System
Wake Lock API
FTP廃止",
2020-02-28,,,,,,,"SeaMonkey 2.53.1
Gecko 60ベース",,,,,,,,,,,,,,
2020-04-22,,,,,,,,,,,,,,,,,Vivaldi 3.0,,,,
2020-05-27,,,,,,,,,,,,"Edge 44
EdgeHTMLベースの最終版",,,,,,,,,
2020-06-30,,,,,,"Firefox 78
Picture-in-Picture
Pocket",,,,,,,,,,,,,,,
2020-09-16,,,,,,,,,,,,,,,,,,,"Safari 14.0
WebExtensions
Flash対応終了
WebP
HTTP/3",,
2020-11-12,,,,,,,,,,,,,,,,,,,macOS 11 Big Sur,,
2021-01-01,,,,,,,,,,,,,,,Flash終了,,,,,,
2021-01-19,,,,,,,,,,,,,,,,,,,,"Chrome (81-)88
Content Indexing API
TLS 1.0/1.1廃止
危険なダウンロードのブロック
拡張機能Manifest V3",
2021-01-21,,,,,,,,,,,,"Edge 88
Chromium 88ベース",,,,,,,,,
2021-01-22,,,,,,,SeaMonkey 2.53.6,,,,,,,,,,,,,,
2021-02-02,,,,,,,,,,,,,,,,"Opera 74
Chromium 88ベース",,,,,
2021-03-26,,,,,,,,,,,Epiphany 40,,,,,,,,,,
2021-06-09,,,,,,,,,,,,,,,,,Vivaldi 4.0,,,,
2021-08-10,,,,,,"Firefox 91
HTTP/3
HTTPS Onlyモード
Flashサポートの完全終了
Event Timing API
Windowsシングルサインオン",,,,,,,,,,,,,,,
2021-09-20,,,,,,,,,,,,,,,,,,,"Safari 15.0
WebGL 2
MediaSession API",,
2021-10-05,,,,,,,,,,,,Windows 11リリース,,,,,,,,,
2021-10-19,,,,,,,,"Waterfox G4.0.0.1
Gecko 91.3ベース",,,,,,,,,,,,,
2021-10-25,,,,,,,,,,,,,,,,,,,macOS 12 Monterey,,
2021-12-02,,,,,,,,,,,,,,,,,Vivaldi 5.0,,,,
2022-01-04,,,,,,,,,,,,,,,,,,,,"Chrome (89-)97
Serial API
WebXR Depth Sensing API
DNS over HTTPS
HTTPS優先モード",
2022-01-06,,,,,,,,,,,,"Edge 96
Chromium 96ベース",,,,,,,,,
2022-01-19,,,,,,,,,,,,,,,,"Opera 83
Chromium 97ベース",,,,,
2022-03-02,,,,,,,SeaMonkey 2.53.11,,,,,,,,,,,,,,
2022-06-28,,,,,,"Firefox 102
AVIF
RLBox
サイト分離",,,,,,,,,,,,,,,
2022-09-12,,,,,,,,,,,,,,,,,,,Safari 16.0,,
2022-09-28,,,,,,,,"Waterfox G5.0
Gecko 102ベース",,,,,,,,,,,,,
2022-10-24,,,,,,,,,,,,,,,,,,,macOS 13 Ventura,,
2022-11-22,,,,,,,,"Waterfox Classic 2022.11
最終版",,,,,,,,,,,,,
2023-01-10,,,,,,,,,,,,,,,,,,,,"Chrome (98-)109
TLS 1.0/1.1完全廃止
Local Fonts Access API
Speculation Rules API",
2023-01-12,,,,,,,,,,,,"Edge 109
Chromium 109ベース",,,,,,,,,
2023-01-20,,,,,,,SeaMonkey 2.53.15,,,,,,,,,,,,,,
2023-02-01,,,,,,,,,,,,,,,,"Opera 95
Chromium 109ベース",,,,,
2023-02-22,,,,,,,,,,,,,,,,"Opera 96
Chromium 110ベース",,,,,
2023-03-01,,,,,,,,,,,,,,,,,,,,Chrome 111,
2023-04-18,,,,,,,,,,,,,,,,,Vivaldi 6.0,,,,
2023-05-05,iCab 6.2.1,,,,,,,,,,,,,,,,,,,,
2023-05-11,,,,,,,,,,,,,,,,,,Konqueror 23.04.1,,,
2023-05-16,,,,,,,,,Pale Moon 32.2.0,,,,,,,,,,,,
2023-06-02,,,,,,,,,,,,"Edge 114
Chromium 114ベース",,,,,,,,,
2023-06-05,,,,,,,,,,,,,,,,,,,,,Brave 1.52.122
2023-06-06,,,,,,"Firefox 114
拡張機能Manifest V3
Firefox Relay連携
",,,,,,,,,,,,,,,
2023-06-07,,,,,,,,,,,,,,Lunascape Phobe 0.25.0,,,,,,,
